spatial_unit_id,observed_electricity,predicted_electricity,residual,relative_bias,relative_bias_pct,log_bias,standardized_residual,symmetric_bias,vulnerability_z,vulnerability_z_with_apartment_sensitivity,ntl_value,aging_rate,foreign_rate,rent_home_rate,own_home_rate,apartment_rate,avg_land_price,weighted_avg_height,max_height,pop_density,bldg_count,roof_area,city,model_name,relative_bias_z,log_bias_z,standardized_residual_z,symmetric_bias_z,bias_z
533923072,644.0269991999488,607.2461219475498,-36.78087725239903,0.22294815239174703,22.2948152391747,0.028056310409872037,-0.09915573771454163,0.021713568773018138,-0.7672270904253079,-1.048214558952424,37.641666650772095,0.266839378238342,0.011658031088082901,0.0,0.7201365187713312,0.2593856655290102,128000.0,9.02969447175356,30.8,5368.298877156843,315.0,50648.479820505025,Tokyo,random_forest,-0.2229522003136323,-0.2542481429775129,-0.1304553454750118,-0.2607347870006825,-0.2229522003136323
533923074,256.54647770229707,652.4392296555387,395.89275195324166,1.8300098670518226,183.00098670518227,0.9661953483317572,1.0672675805524274,0.8718563179450306,-1.094432266236513,-0.6355476297155227,42.803749799728394,0.23277467411545624,0.00931098696461825,0.0,0.7404306220095694,0.7093301435406699,191694.4305534728,4.913328389688872,14.0,7605.435774634752,244.0,63697.80937104192,Tokyo,random_forest,2.309466665693182,1.9274576333154143,1.4259069254282037,1.8806285344214744,2.309466665693182
533923081,765.0607117200328,440.22256455155707,-324.8381471684758,-0.3488246334475431,-34.882463344754306,-0.5016289321619843,-0.8757150053623096,-0.4739010560748147,-0.9889884372526202,-1.2285111344168758,135.30999978383383,0.1645101663585952,0.030499075785582256,0.0,0.6986301369863014,0.2557077625570776,175779.98364681043,6.88833986084271,26.7,4333.218949508167,303.0,32867.74001937526,Tokyo,random_forest,-1.1239556756126285,-1.4860669956456638,-1.1666207978966292,-1.5091027584304038,-1.1239556756126285
533923083,441.16831552143475,510.0645411743864,68.89622565295171,0.31522686500788094,31.522686500788094,0.19358692464129915,0.18573390823407768,0.1842504698821117,-0.8511966135710805,-0.44246731376552084,137.7179168065389,0.23358449946178686,0.013455328310010764,0.0,0.6818181818181818,0.7102272727272728,175000.0,3.180275933663148,9.2,5097.075196695596,164.0,54208.42583036972,Tokyo,random_forest,-0.07753877242337352,0.13070449477008209,0.24967379750558447,0.14866770305362123,-0.07753877242337352
533923171,324.6972274337741,644.2410213407834,319.5437939070093,1.1172552344145696,111.72552344145696,0.7059525790956638,0.8614422217155339,0.6650054723306471,-0.21728368493995806,-0.966462167105081,31.386250257492065,0.42574257425742573,0.009900990099009901,0.0,0.9018691588785047,0.02336448598130841,204921.06862810618,4.473669356549354,9.0,2981.732696576148,480.0,41615.02978954648,Tokyo,random_forest,1.1863030298112045,1.3222454739978011,1.151273507292492,1.3596068421995535,1.1863030298112045
533923172,244.44050345584583,644.9060430546302,400.46553959878446,1.872389938930328,187.2389938930328,1.0002008615575557,1.0795951313417758,0.904728524295122,-0.35892626730800253,0.07525618757981718,44.4883337020874,0.13234077750206782,0.0380479735318445,0.0,0.4315424610051994,0.7972270363951474,269000.0,10.5072153668236,15.0,5714.872595496872,196.0,93687.73857233553,Tokyo,random_forest,2.376249473465162,2.006539754015638,1.442355614888297,1.9634279666825425,2.376249473465162
533923173,761.9619379105092,676.2756440423179,-85.68629386819107,0.01979452436948037,1.979452436948037,-0.061887328697380485,-0.23099741809370045,-0.05951389587679393,-0.7295914368584739,-0.591995211715711,26.40291666984558,0.21869688385269123,0.01586402266288952,0.0,0.6157082748948106,0.5455820476858345,201352.3336322228,3.2615147918072736,6.0,7317.204730961902,351.0,45733.67332136235,Tokyo,random_forest,-0.5430830799234044,-0.46341815834728,-0.30637211073607734,-0.4653327955852725,-0.5430830799234044
533923183,857.2640420716581,713.1574432797288,-144.10659879192937,0.048017466315413905,4.80174663154139,-0.09010066888771899,-0.38848981264619614,-0.08701547102058414,-0.6838352417854535,-0.9642399342312309,28.37333345413208,0.2789150460593654,0.019959058341862845,0.0,0.7878378378378378,0.2716216216216216,204000.0,3.118404262841017,12.300000000000002,7217.372809844055,408.0,49900.36743776439,Tokyo,random_forest,-0.49860917454310305,-0.5290301889457809,-0.5165147039070463,-0.5346045318338071,-0.49860917454310305
533923262,164.8522661775871,692.0878905597914,527.2356243822043,3.588079500906639,358.80795009066384,1.4574884469769886,1.4213482980913568,1.2180532100448012,-1.0037205481879239,-1.5438108027343973,21.52999985218048,0.30933333333333335,0.005333333333333333,0.0,0.8701298701298702,0.051948051948051945,159677.41223303828,3.0,3.0,1891.0247243989008,497.0,38884.24885012384,Tokyo,random_forest,5.079844845892284,3.0699929589335357,1.8983579309951195,2.752638943796614,5.079844845892284
533923264,1159.7318848455957,740.1201687276629,-419.61171611793276,-0.26823151684412105,-26.823151684412107,-0.39215200424581775,-1.1312103563985725,-0.3727812038385363,-1.3707174288304234,-1.6457057806581878,18.363749941190083,0.2160953800298063,0.007451564828614009,0.0,0.7898832684824902,0.17769130998702984,149202.23618776794,3.451873717009672,11.0,7923.802898566307,265.0,27216.509381707892,Tokyo,random_forest,-0.9969564900213255,-1.2314709961714443,-1.507529041513378,-1.2543992479231552,-0.9969564900213255
